cutsheet_url,pid,listing_id,class_id,ldate,sdate,expdate,dom,lprice,sprice,stid
https://www.viewpoint.ca/cutsheet/202603523/1/204-Cameron-Avenue-New-Glasgow,00953083,201901153,1,2019-01-19,2019-04-08,2019-04-09,79,129900,123000,2
https://www.viewpoint.ca/cutsheet/202603523/1/204-Cameron-Avenue-New-Glasgow,00953083,4913731,1,2013-11-28,2014-04-07,2014-04-16,130,129500,125000,2
https://www.viewpoint.ca/cutsheet/202606428/1/39-Cedar-Drive-Stellarton,01041482,202606428,1,2026-04-07,,2026-04-07,1,749900,,5
https://www.viewpoint.ca/cutsheet/202606428/1/39-Cedar-Drive-Stellarton,01041482,202600102,1,2026-01-05,,2026-04-07,92,749900,,1
https://www.viewpoint.ca/cutsheet/202606428/1/39-Cedar-Drive-Stellarton,01041482,202529081,1,2025-12-05,,2025-12-19,14,874900,,3
https://www.viewpoint.ca/cutsheet/202606428/1/39-Cedar-Drive-Stellarton,01041482,202522348,1,2025-09-04,,2025-12-05,92,899900,,1
https://www.viewpoint.ca/cutsheet/202606428/1/39-Cedar-Drive-Stellarton,01041482,201624274,1,2016-11-07,2017-01-20,2017-01-20,74,415000,360000,2
https://www.viewpoint.ca/cutsheet/202606428/1/39-Cedar-Drive-Stellarton,01041482,201613271,1,2016-06-16,,2016-11-06,143,429000,,1
https://www.viewpoint.ca/cutsheet/202606428/1/39-Cedar-Drive-Stellarton,01041482,3584750,1,2009-01-17,2009-02-02,2009-06-30,16,348000,348000,2
https://www.viewpoint.ca/cutsheet/202527059/1/34-Centennial-Drive-Abercrombie,65240889,202527059,1,2025-11-01,,2026-04-07,158,535000,0,6
https://www.viewpoint.ca/cutsheet/202527059/1/34-Centennial-Drive-Abercrombie,65240889,202518253,1,2025-07-21,,2025-11-01,103,567000,,1
https://www.viewpoint.ca/cutsheet/202529220/1/132-Almont-Avenue-New-Glasgow,00946467,202529220,1,2025-12-09,,2026-02-10,120,429000,,5
https://www.viewpoint.ca/cutsheet/202529220/1/132-Almont-Avenue-New-Glasgow,00946467,202111949,1,2021-05-14,2021-06-04,2021-06-07,21,189000,180000,2
https://www.viewpoint.ca/cutsheet/202529220/1/132-Almont-Avenue-New-Glasgow,00946467,202011856,1,2020-07-02,,2020-10-04,94,189000,,1
https://www.viewpoint.ca/cutsheet/202522275/1/34-Duke-Street-New-Glasgow,00952721,202522275,1,2025-09-03,,2025-09-03,217,325000,,5
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,202600567,1,2026-01-12,,2026-07-12,86,228800,,5
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,202506057,1,2025-03-28,,2025-05-05,38,239900,,1
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,202323008,1,2023-10-30,2023-11-29,2023-11-30,30,249999,200000,2
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,202300739,1,2023-01-16,2023-04-12,2023-04-12,86,199000,173000,2
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,202223701,1,2022-10-06,,2023-01-10,96,199900,,1
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,202011460,1,2020-06-24,2020-08-12,2020-08-13,49,69900,65000,2
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,201606284,1,2016-04-05,,2017-07-01,452,72500,,1
https://www.viewpoint.ca/cutsheet/202600567/1/240-Forbes-Street-New-Glasgow,00940056,201503869,1,2015-07-13,,2016-01-21,192,79500,,1
https://www.viewpoint.ca/cutsheet/202606314/1/306-Frederick-Street-New-Glasgow,00936757,202606314,1,2026-04-04,,2026-04-04,4,275000,,5
https://www.viewpoint.ca/cutsheet/202601373/1/1911-Granton-Abercrombie-Road-Abercrombie,65200719,202601373,1,2026-01-23,,2026-01-23,75,1725000,,5
https://www.viewpoint.ca/cutsheet/202601373/1/1911-Granton-Abercrombie-Road-Abercrombie,65200719,202321038,1,2023-10-02,,2025-04-22,568,1595000,,3
https://www.viewpoint.ca/cutsheet/202601373/1/1911-Granton-Abercrombie-Road-Abercrombie,65200719,202200349,1,2022-01-10,2022-01-13,2022-01-13,3,1390000,1425000,2
https://www.viewpoint.ca/cutsheet/202603917/1/209-Louise-Street-Pictou,65245342,202603917,1,2026-03-05,,2026-03-05,34,449000,,5
https://www.viewpoint.ca/cutsheet/202602471/1/1668-Mackay-Street-Westville,01033158,202602471,1,2026-02-10,,2026-02-10,57,349900,,5
https://www.viewpoint.ca/cutsheet/202602471/1/1668-Mackay-Street-Westville,01033158,202226814,1,2022-11-30,,2023-08-21,264,239900,,3
https://www.viewpoint.ca/cutsheet/202602471/1/1668-Mackay-Street-Westville,01033158,201512396,1,2015-12-12,2016-03-25,2016-03-29,104,115000,102000,2
https://www.viewpoint.ca/cutsheet/202529545/1/41-Mechanic-Street-Trenton,01023969,202529545,1,2025-12-17,,2025-12-17,112,247250,,5
https://www.viewpoint.ca/cutsheet/202600617/1/12-Munroe-Avenue-Extension-Westville-Road,65242760,202600617,1,2026-01-10,,2026-01-12,88,450000,,5
https://www.viewpoint.ca/cutsheet/202600617/1/12-Munroe-Avenue-Extension-Westville-Road,65242760,202521872,1,2025-08-26,,2026-01-01,128,389500,,1
https://www.viewpoint.ca/cutsheet/202526466/1/321-Beeches-Rd-Pictou,65147894,202526466,1,2025-10-23,,2025-10-23,167,598500,,5
https://www.viewpoint.ca/cutsheet/202526466/1/321-Beeches-Rd-Pictou,65147894,202514246,1,2025-06-11,,2025-10-09,120,610000,,3
https://www.viewpoint.ca/cutsheet/202526466/1/321-Beeches-Rd-Pictou,65147894,202000028,5,2020-01-02,2020-08-31,2020-08-31,242,550000,500000,2
https://www.viewpoint.ca/cutsheet/202526466/1/321-Beeches-Rd-Pictou,65147894,201813696,5,2018-06-06,,2019-12-17,559,499000,,1
https://www.viewpoint.ca/cutsheet/202526466/1/321-Beeches-Rd-Pictou,65147894,4845209,2,2013-07-12,,2014-06-30,209,600000,,3
https://www.viewpoint.ca/cutsheet/202526466/1/321-Beeches-Rd-Pictou,65147894,4722566,2,2013-01-02,,2013-06-30,179,700000,,1
https://www.viewpoint.ca/cutsheet/202604330/1/2172-North-Street-Westville,01034636,202604330,1,2026-03-11,,2026-03-11,28,229800,,5
https://www.viewpoint.ca/cutsheet/202602367/1/250-North-Main-Street-Trenton,00926915,202602367,1,2026-02-08,,2026-03-24,59,154900,0,6
https://www.viewpoint.ca/cutsheet/202602367/1/250-North-Main-Street-Trenton,00926915,202111451,1,2021-05-11,2021-06-16,2021-06-18,36,119000,119000,2
https://www.viewpoint.ca/cutsheet/202602367/1/250-North-Main-Street-Trenton,00926915,202100046,1,2021-01-04,2021-02-25,2021-02-25,52,39000,29000,2
https://www.viewpoint.ca/cutsheet/202602367/1/250-North-Main-Street-Trenton,00926915,201922627,1,2019-09-19,,2020-04-01,195,38000,,1
https://www.viewpoint.ca/cutsheet/202602367/1/250-North-Main-Street-Trenton,00926915,201902023,1,2019-01-30,,2019-08-01,183,35000,,1
https://www.viewpoint.ca/cutsheet/202602367/1/250-North-Main-Street-Trenton,00926915,201814067,1,2018-06-08,,2018-12-08,183,35000,,1
https://www.viewpoint.ca/cutsheet/202602367/1/250-North-Main-Street-Trenton,00926915,2360520,1,2005-01-07,2005-01-21,2005-04-10,14,10200,8000,2
https://www.viewpoint.ca/cutsheet/202605483/1/1568-North-Main-Street-Westville,01032929,202605483,1,2026-03-26,,2026-03-26,13,539000,,5
https://www.viewpoint.ca/cutsheet/202528647/1/54-Oak-Street-Pictou,00978841,202528647,1,2025-11-25,,2025-11-27,134,285000,,5
https://www.viewpoint.ca/cutsheet/202601135/1/1726-Acadia-Avenue-Westville,01026822,202601135,1,2026-01-20,,2026-01-20,78,109900,,5
https://www.viewpoint.ca/cutsheet/202524749/1/212-Patterson-Street-Pictou,00922112,202524749,1,2025-10-01,,2026-02-09,189,374900,,5
https://www.viewpoint.ca/cutsheet/202604528/1/Lot-1-Pictou-Island-Road-Pictou-Island,65240772,202604528,1,2026-03-13,,2026-03-13,26,114900,,5
https://www.viewpoint.ca/cutsheet/202604528/1/Lot-1-Pictou-Island-Road-Pictou-Island,65240772,202509355,1,2025-05-01,,2025-10-22,174,114900,,1
https://www.viewpoint.ca/cutsheet/202603010/1/1017-Poplar-Street-Westville,65168551,202603010,1,2026-02-18,,2026-04-06,49,79900,0,6
https://www.viewpoint.ca/cutsheet/202527580/1/21-Prospect-Street-New-Glasgow,00993451,202527580,1,2025-11-10,,2025-11-10,149,209900,,5
https://www.viewpoint.ca/cutsheet/202527580/1/21-Prospect-Street-New-Glasgow,00993451,201610805,1,2016-05-24,,2016-09-02,101,108000,,1
https://www.viewpoint.ca/cutsheet/202527580/1/21-Prospect-Street-New-Glasgow,00993451,4870292,1,2013-08-29,,2014-06-30,305,110000,,1
https://www.viewpoint.ca/cutsheet/202527580/1/21-Prospect-Street-New-Glasgow,00993451,4533921,1,2012-01-21,2012-05-16,2012-07-29,116,69500,60000,2
https://www.viewpoint.ca/cutsheet/202601361/1/1211-Shore-Road-Waterside,00808964,202601361,1,2026-01-23,,2026-06-30,75,199900,,5
https://www.viewpoint.ca/cutsheet/202601361/1/1211-Shore-Road-Waterside,00808964,202426150,1,2024-11-06,2025-01-15,2025-02-06,70,179900,175000,2
https://www.viewpoint.ca/cutsheet/202601361/1/1211-Shore-Road-Waterside,00808964,202410917,1,2024-05-17,,2024-11-03,170,199900,,3
https://www.viewpoint.ca/cutsheet/202604659/1/21-6th-Street-Trenton,01021724,202604659,1,2026-03-16,,2026-03-16,23,298500,,5
https://www.viewpoint.ca/cutsheet/202604659/1/21-6th-Street-Trenton,01021724,202324234,1,2023-11-19,2024-03-27,2024-03-27,129,239000,225000,2
https://www.viewpoint.ca/cutsheet/202604552/1/2161-Spring-Garden-Road-Westville,01033018,202604552,1,2026-03-13,,2026-03-13,26,449500,,5
https://www.viewpoint.ca/cutsheet/202604552/1/2161-Spring-Garden-Road-Westville,01033018,202512344,1,2025-05-26,,2025-10-01,128,469699,,1
https://www.viewpoint.ca/cutsheet/202604552/1/2161-Spring-Garden-Road-Westville,01033018,202506973,1,2025-04-05,,2025-05-19,44,494321,,3
https://www.viewpoint.ca/cutsheet/202604678/1/88-St-Andrews-Street-Pictou,00971960,202604678,1,2026-03-16,,2026-03-16,23,340000,,5
https://www.viewpoint.ca/cutsheet/202602594/1/53-St-Andrews-Street-Pictou,00972299,202602594,1,2026-02-11,,2026-02-11,56,239000,,5
